station_id,latitude,longitude,f_system,county_code,nearest_weather_station,weather_dist_km
009005,41.450504,-72.106834,16,11,GON,14.213490515962256
009011,41.923144,-72.606385,14,3,BDL,6.512451166382215
009014,41.687649,-72.649634,11,3,HFD,5.454256932279685
009015,41.229981,-73.238499,12,1,BDR,12.150139900586039
009017,41.364241,-72.928827,12,9,HVN,11.707111352876373
009022,41.579157,-72.701815,16,7,MMK,13.150620073329492
009024,41.423019,-73.366707,11,1,DXR,11.138260080136899
009026,41.806134,-72.533773,11,,HFD,12.310866911339268
009028,41.311544,-73.053765,14,9,BDR,18.16131854388982
009045,41.558069,-72.903023,11,9,MMK,8.0940349544428
009046,41.465798,-71.933182,2,11,GON,17.970964502002403
009047,41.893897,-72.78849,14,3,BDL,10.05336864050021
009048,41.619141,-72.742276,14,3,MMK,14.161457262429316
009052,41.322759,-72.917403,14,,HVN,7.036851787845448
009061,41.395338,-72.080629,14,11,GON,7.701818507459363
009062,41.395041,-72.080632,14,11,GON,7.670758787450815
009063,41.39519,-72.080335,19,11,GON,7.678172387908308
009064,41.629061,-72.757344,16,3,4B8,11.147206632253253
009065,41.628757,-72.756812,16,3,4B8,11.20286276108247
009066,41.628683,-72.75737,17,3,4B8,11.170811971914056
009067,41.695717,-72.742776,16,3,HFD,8.990827686146925
009068,41.695806,-72.741982,16,3,HFD,8.929031349472739
009069,41.695532,-72.742307,19,3,HFD,8.967785422631785
009070,41.693812,-72.756707,16,3,4B8,8.972746505839922
009072,41.693976,-72.757142,17,3,4B8,8.937714742261525
009073,41.693528,-72.757109,12,3,4B8,8.937722496119026
009081,41.641743,-72.676991,16,3,HFD,10.804436378097625
009082,41.641026,-72.676823,16,3,HFD,10.879437536323938
009083,41.641519,-72.676163,18,3,HFD,10.814442138992534
009084,41.860642,-72.007355,6,15,IJD,19.69165817479473
009085,41.860791,-72.006661,7,15,IJD,19.74545096486608
009086,41.860489,-72.006304,6,15,IJD,19.74502503577389
009087,41.86039,-72.006907,7,15,IJD,19.700494717566635
009100,41.862452,-72.359308,17,13,IJD,19.794242866449586
009101,41.862619,-72.359746,11,13,IJD,19.833520930747376
009102,41.770213,-72.549136,16,3,HFD,9.11388841586141
009103,41.770489,-72.548975,18,3,HFD,9.138636366287011
009104,41.770294,-72.548624,16,3,HFD,9.156330405343864
009105,41.77007,-72.548855,18,3,HFD,9.128699369935646
009109,41.498717,-73.418156,14,5,DXR,15.212915695850285
009110,41.498119,-73.418167,16,5,DXR,15.150068828102507
009111,41.498002,-73.418685,12,5,DXR,15.123187391580775
009116,41.759729,-72.143686,2,15,IJD,3.8592617318065154
009117,41.760353,-72.142984,2,15,IJD,3.944966648498714
009118,41.759829,-72.142984,9,15,IJD,3.9149890461831887
009199,41.464139,-72.556212,16,7,SNC,9.859121833200069
009201,41.463626,-72.556033,16,7,SNC,9.80116264105938
009202,41.464042,-72.556709,18,7,SNC,9.8670835908316
025012,41.517469,-72.897836,14,9,MMK,5.708922141334953
088065,41.6719,-72.7563,16,3,4B8,9.199786979957715
165260,41.671723,-72.755871,17,3,4B8,9.238776302301316
165261,41.671951,-72.755603,16,3,4B8,9.255197253872359
165262,41.672139,-72.755968,7,3,4B8,9.221191386776043
165263,41.51725,-72.897517,17,9,MMK,5.679146833763509
165264,41.516913,-72.897965,14,9,MMK,5.710923330656658
165265,41.517186,-72.898285,19,9,MMK,5.741460155088474
